"","GEOID_tract","GEOID_msa"
"97","26099231800","19820"
"98","26099231900","19820"
"99","26099260000","19820"
"100","26111290100","33220"
"101","26145000100","40980"
"102","26145001800","40980"
"103","26147644000","19820"
"104","26147631600","19820"
"105","22005030102","12940"
"106","22057021800","26380"
"107","22057020100","26380"
"108","26017281000","13020"
"109","26017285100","13020"
"110","26049011212","22420"
"111","26049000300","22420"
"112","26049001200","22420"
"113","26049003800","22420"
"114","26049010501","22420"
"115","26049010201","22420"
"116","26087332000","19820"
"117","26115830600","33780"
"118","26155030500","29620"
"119","18003010304","23060"
"120","18003011501","23060"
"121","18003004101","23060"
"122","18003002800","23060"
"123","19163010600","19340"
"124","19163011700","19340"
"125","19163013500","19340"
"126","22121020200","12940"
"127","01089011021","26620"
"128","18057111007","26900"
"129","18097357000","26900"
"130","18097330900","26900"
"131","18097330600","26900"
"132","18097350900","26900"
"133","18097352400","26900"
"134","18097354700","26900"
"135","18097355100","26900"
"136","18097322200","26900"
"137","18097381203","26900"
"138","18097320500","26900"
"139","18097342300","26900"
"140","20085082700","45820"
"141","22045031000","29180"
"142","22051025400","35380"
"143","22051027703","35380"
"144","22051023903","35380"
"145","22051020511","35380"
"146","22051023902","35380"
"147","22071004600","35380"
"148","22071003400","35380"
"149","22071011600","35380"
"150","22071009400","35380"
"151","22071008300","35380"
"152","22071013800","35380"
"153","22071009900","35380"
"154","22071000616","35380"
"155","22071001302","35380"
"156","22071004800","35380"
"157","22073000200","33740"
"158","22075050400","35380"
"159","22087030104","35380"
"160","22095070800","35380"
"161","01073012401","13820"
"162","01073003400","13820"
"163","01073010402","13820"
"164","01073005101","13820"
"165","01073000500","13820"
"166","01073010705","13820"
"167","01103001000","19460"
"168","01125011701","46220"
"169","01125012304","46220"
"170","01065040300","46220"
"171","01129044000","33660"
"172","29021002500","41140"
"173","29021001700","41140"
"174","12005001900","37460"
"175","12005002200","37460"
"176","72005400900","10380"
"177","72005401401","10380"
"178","72025200800","41980"
"179","72025202300","41980"
"180","72031050831","41980"
"181","72031050231","41980"
"182","72031050110","41980"
"183","72055961300","49500"
"184","72061040101","41980"
"185","39095002402","45780"
"186","39095003200","45780"
"187","39095003100","45780"
"188","39095005503","45780"
"189","39095010002","45780"
"190","39095001800","45780"
"191","01079979300","19460"
"192","05035030101","32820"
"193","12017450201","26140"
"194","12035060107","19660"
"195","12053041201","45300"
"196","12073000400","45220"
"197","12073001500","45220"
"198","12075970400","23540"
"199","12091022500","18880"
"200","12103024406","45300"
"201","12103025110","45300"
"202","12103026812","45300"
"203","12103022802","45300"
"204","12103024301","45300"
"205","12103027206","45300"
"206","12103025014","45300"
"207","12103020700","45300"
"208","12113010812","37860"
"209","12117021614","36740"
"210","12117020902","36740"
"211","12117021611","36740"
"212","12117020302","36740"
"213","12127082406","19660"
"214","13095010900","10500"
"215","13095000501","10500"
"216","28047000900","25060"
"217","72071410701","10380"
"218","72099420401","10380"
"219","18005010600","18020"
"220","19105070100","16300"
"221","36015010500","21300"
"222","22001960300","29180"
"223","36051031000","40380"
"224","21067001000","30460"
"225","21067003101","30460"
"226","21067000700","30460"
"227","01015000300","11500"
"228","18019050606","31140"
"229","18019050303","31140"
"230","36055012600","40380"
"231","36055013902","40380"
"232","36055002400","40380"
"233","36055013604","40380"
"234","36055009500","40380"
"235","36055011205","40380"
"236","36055012700","40380"
"237","23019000600","12620"
"238","23019031200","12620"
"239","23019014000","12620"
"240","13089020500","12060"
"241","13097080505","12060"
"242","21093001100","21060"
"243","31079000400","24260"
"244","31079000900","24260"
"245","18043070200","31140"
"246","13143010100","12060"
"247","01085781000","33860"
"248","31109002300","30700"
"249","31109003801","30700"
"250","31109000202","30700"
"251","31109000300","30700"
"252","31109000600","30700"
"253","21111011706","31140"
"254","21111011003","31140"
"255","21111012604","31140"
"256","21111012301","31140"
"257","21111004400","31140"
"258","21111001400","31140"
"259","01055000600","23460"
"260","01077010600","22520"
"261","21117061400","17140"
"262","21117060700","17140"
"263","18081610201","26900"
"264","01003010100","19300"
"265","18105000402","14020"
"266","18105000501","14020"
"267","36029009112","15380"
"268","36029003800","15380"
"269","36029006301","15380"
"270","36029011400","15380"
"271","36029010805","15380"
"272","36029016600","15380"
"273","36029011000","15380"
"274","36029007700","15380"
"275","36029007902","15380"
"276","36029013300","15380"
"277","36029007904","15380"
"278","36029011500","15380"
"279","22079012500","10780"
"280","22079011600","10780"
"281","22079010600","10780"
"282","17143003000","37900"
"283","17143004300","37900"
"284","72087110400","41980"
"285","18165020400","45460"
"286","17073030600","19340"
"287","17073030900","19340"
"288","38015010300","13900"
"289","38015011101","13900"
"290","19103001200","26980"
"291","55139003600","36780"
"292","55139001100","36780"
"293","55015020100","11540"
"294","48375010700","11100"
"295","48375014100","11100"
"296","18127051101","16980"
"297","18157000400","29200"
"298","18157010400","29200"
"299","21047200200","17300"
"300","20045001202","29940"
"301","06001450200","41860"
"302","06001444100","41860"
"303","06001406201","41860"
"304","06001406202","41860"
"305","06001428000","41860"
"306","06001409700","41860"
"307","06001432100","41860"
"308","06001409200","41860"
"309","06001450741","41860"
"310","06001450300","41860"
"311","06001401500","41860"
"312","06001401400","41860"
"313","06001438400","41860"
"314","06001423300","41860"
"315","06001423902","41860"
"316","06001438000","41860"
"317","06001402200","41860"
"318","06001436700","41860"
"319","06001437900","41860"
"320","37001020100","15500"
"321","21059001100","36980"
"322","21059000500","36980"
"323","17019001205","16580"
"324","17019000500","16580"
"325","17019000401","16580"
"326","06013389200","41860"
"327","06013359102","41860"
"328","06013379000","41860"
"329","06013337300","41860"
"330","06013345111","41860"
"331","06013333102","41860"
"332","06013323000","41860"
"333","06013387000","41860"
"334","37063000200","20500"
"335","37063001710","20500"
"336","37063000500","20500"
"337","17115000200","19500"
"338","17115000400","19500"
"339","24013507602","12580"
"340","24013505208","12580"
"341","06019003600","23420"
"342","06019005507","23420"
"343","06019004505","23420"
"344","06019007202","23420"
"345","06019001000","23420"
"346","06019001304","23420"
"347","06019007003","23420"
"348","19169000300","11180"
"349","37065020700","40580"
"350","17119401500","41180"
"351","17119401722","41180"
"352","17119400102","41180"
"353","16083000200","46300"
"354","24017850711","47900"
"355","16055001600","17660"
"356","06085500100","41940"
"357","06085509107","41940"
"358","06085508800","41940"
"359","06085507500","41940"
"360","06085512030","41940"
"361","06085512021","41940"
"362","06085507203","41940"
"363","06085505403","41940"
"364","06085503709","41940"
"365","06085503504","41940"
"366","06085503208","41940"
"367","06085502906","41940"
"368","06085502400","41940"
"369","06085504411","41940"
"370","06085504412","41940"
"371","06085510803","41940"
"372","06085502002","41940"
"373","06085503110","41940"
"374","06085504415","41940"
"375","24021750600","47900"
"376","55087011501","11540"
"377","06099000807","33700"
"378","06099000907","33700"
"379","06099000911","33700"
"380","06099000302","33700"
"381","06099002602","33700"
"382","06099003100","33700"
"383","06099001900","33700"
"384","06099003400","33700"
"385","06099003905","33700"
"386","24025306100","12580"
"387","24025301105","12580"
"388","24027606804","12580"
"389","24027606604","12580"
"390","24031701503","47900"
"391","24031703501","47900"
"392","24031702402","47900"
"393","24031705400","47900"
"394","24031705601","47900"
"395","24031701418","47900"
"396","24031703404","47900"
"397","24031700811","47900"
"398","17163501602","41180"
"399","17163501200","41180"
"400","37129011000","48900"
"401","37129012006","48900"
"402","47119011200","34980"
