"","GEOID","r_stat"
"403","04013082206","Neither"
"404","04013082207","Neither"
"405","04013082210","Neither"
"406","04013082211","Neither"
"407","04013617400","Neither"
"408","04013813400","Neither"
"409","04013813700","Neither"
"410","04013112514","Neither"
"411","04013422623","Neither"
"412","04013050611","Neither"
"413","04013030401","Neither"
"414","04013061017","Neither"
"415","04013420402","Neither"
"416","04013082012","Neither"
"417","04013216820","Neither"
"418","04019980002","Neither"
"419","04019980001","Neither"
"420","04013941100","Neither"
"421","04005001201","Neither"
"422","04005000301","Neither"
"423","04005980200","Neither"
"424","04005000602","Neither"
"425","04005001103","Neither"
"426","04005002201","Neither"
"427","04013610700","Neither"
"428","04027011700","Neither"
"429","04027010911","Neither"
"430","04019004640","Neither"
"431","04019005300","Neither"
"432","04019004073","Neither"
"433","04019004422","Neither"
"434","04019004118","Neither"
"435","04013612800","Neither"
"436","04013613300","Neither"
"437","04027010910","Neither"
"438","04027011108","Neither"
"439","04013061011","Neither"
"440","04013061013","Neither"
"441","04019004620","Neither"
"442","04019004437","Neither"
"443","04019004430","Neither"
"444","04013615300","Neither"
"445","04013050701","Neither"
"446","04013050702","Neither"
"447","04013612000","Neither"
"448","04013061042","Neither"
"449","04013061024","Neither"
"450","04013420108","Neither"
"451","04013612900","Neither"
"452","04013613200","Neither"
"453","04013613400","Neither"
"454","04013061044","Neither"
"455","04013061045","Neither"
"456","04013061046","Neither"
"457","04013071701","Neither"
"458","04013082016","Neither"
"459","04013082208","Neither"
"460","04013420112","Neither"
"461","04013420401","Neither"
"462","04005001500","Neither"
"463","04005000100","Neither"
"464","04005000500","Neither"
"465","04021000317","Neither"
"466","04021001701","Neither"
"467","04021000319","Neither"
"468","04021000311","Neither"
"469","04005000800","Neither"
"470","04025001402","Neither"
"471","04013116712","Neither"
"472","04021000603","Neither"
"473","04013082007","Neither"
"474","04013082008","Neither"
"475","04019004063","Neither"
"476","04019004424","Neither"
"477","04013216809","Neither"
"478","04019004645","Neither"
"479","04013071600","Neither"
"480","04013421101","Neither"
"481","04013216819","Neither"
"482","04013105103","Neither"
"483","04015953200","Neither"
"484","04013941300","Neither"
"485","04013050603","Neither"
"486","04013216821","Neither"
"487","04013941000","Neither"
"488","04013941200","Neither"
"489","04021001500","Neither"
"490","04021001600","Neither"
"491","04015952600","Neither"
"492","04021941402","Neither"
"493","04021002107","Neither"
"494","04021000217","Neither"
"495","04021001714","Neither"
"496","04021001309","Neither"
"497","04021001310","Neither"
"498","04021000805","Neither"
