"","GEOID","r_stat"
"349","04021001714","Neither"
"350","04021001309","Neither"
"351","04021001310","Neither"
"352","04021000805","Neither"
"353","04021001712","Neither"
"354","04021001715","Neither"
"355","04021941401","Neither"
"356","04021000806","Neither"
"357","04021000229","Neither"
"358","04021000325","Neither"
"359","04021001308","Neither"
"360","04021000223","Neither"
"361","04019004650","Neither"
"362","04019004728","Neither"
"363","04019004727","Neither"
"364","04019004339","Neither"
"365","04019004435","Neither"
"366","04019004340","Neither"
"367","04019004440","Neither"
"368","04019004436","Neither"
"369","04019004439","Neither"
"370","04019004649","Neither"
"371","04019004081","Neither"
"372","04019004648","Neither"
"373","04019004132","Neither"
"374","04019980300","Neither"
"375","04019004434","Neither"
"376","04019004082","Neither"
"377","04019004131","Neither"
"378","04019004433","Neither"
"379","04019002507","Neither"
"380","04027011116","Neither"
"381","04027010916","Neither"
"382","04027011123","Neither"
"383","04027011801","Neither"
"384","04027011125","Neither"
"385","04027011121","Neither"
"386","04027000909","Neither"
"387","04027011802","Neither"
"388","04027011117","Neither"
"389","04013061100","Neither"
"390","04013980700","Neither"
"391","04019980002","Neither"
"392","04019980001","Neither"
"393","04013941100","Neither"
"394","04005001201","Neither"
"395","04005000301","Neither"
"396","04005980200","Neither"
"397","04005000602","Neither"
"398","04005002201","Neither"
"399","04005001104","Neither"
"400","04005000902","Neither"
"401","04005002202","Neither"
"402","04005000901","Neither"
"403","04013116611","Neither"
"404","04013092720","Neither"
"405","04013116732","Neither"
"406","04027980006","Neither"
"407","04013061031","Neither"
"408","04013061043","Neither"
"409","04027001001","Neither"
"410","04027010907","Neither"
"411","04013610700","Neither"
"412","04027011700","Neither"
"413","04027010911","Neither"
"414","04019004640","Neither"
"415","04019005300","Neither"
"416","04019004073","Neither"
"417","04019004422","Neither"
"418","04019004118","Neither"
"419","04013612800","Neither"
"420","04013613300","Neither"
"421","04027010910","Neither"
"422","04013061013","Neither"
"423","04019004620","Neither"
"424","04019004437","Neither"
"425","04019004430","Neither"
"426","04013615300","Neither"
"427","04013050701","Neither"
"428","04013050702","Neither"
"429","04013612000","Neither"
"430","04013061024","Neither"
"431","04013040522","Neither"
"432","04013061011","Neither"
"433","04013061042","Neither"
"434","04013420108","Neither"
"435","04013613400","Neither"
"436","04013061044","Neither"
"437","04013061045","Neither"
"438","04013082016","Neither"
"439","04013082208","Neither"
"440","04013420112","Neither"
"441","04013420401","Neither"
"442","04005001500","Neither"
"443","04005000100","Neither"
"444","04005000500","Neither"
"445","04021001701","Neither"
"446","04021000317","Neither"
"447","04021000319","Neither"
"448","04021000311","Neither"
"449","04021000310","Neither"
"450","04005000400","Neither"
"451","04005000200","Neither"
"452","04021001406","Neither"
"453","04021000208","Neither"
"454","04019004044","Neither"
"455","04019004310","Neither"
"456","04019004630","Neither"
"457","04019004632","Neither"
"458","04019004634","Neither"
"459","04019004643","Neither"
"460","04019004116","Neither"
"461","04019004320","Neither"
"462","04019004428","Neither"
"463","04019004418","Neither"
"464","04019004051","Neither"
"465","04019004419","Neither"
"466","04013116619","Neither"
"467","04019941000","Neither"
"468","04019004619","Neither"
"469","04019004715","Neither"
"470","04019004052","Neither"
"471","04019004026","Neither"
"472","04019004061","Neither"
"473","04019004109","Neither"
"474","04019004633","Neither"
"475","04019004639","Neither"
"476","04019004713","Neither"
"477","04019940900","Neither"
"478","04021001200","Neither"
"479","04021941200","Neither"
"480","04021000201","Neither"
"481","04021001900","Neither"
"482","04013116621","Neither"
"483","04013116620","Neither"
"484","04013116618","Neither"
"485","04015952400","Neither"
"486","04027000301","Neither"
"487","04027000908","Neither"
"488","04027011000","Neither"
"489","04027010913","Neither"
"490","04027011107","Neither"
"491","04027010914","Neither"
"492","04027980004","Neither"
"493","04027000402","Neither"
"494","04027001200","Neither"
"495","04013421201","Neither"
"496","04005001301","Neither"
"497","04005001302","Neither"
"498","04005001101","Neither"
"499","04025001402","Neither"
"500","04021000206","Neither"
"501","04021001407","Neither"
"502","04013082204","Neither"
"503","04013082206","Neither"
"504","04013082207","Neither"
"505","04013082211","Neither"
"506","04013813400","Neither"
"507","04013112514","Neither"
"508","04013422623","Neither"
"509","04013050611","Neither"
"510","04013030401","Neither"
"511","04013420402","Neither"
"512","04013082012","Neither"
"513","04013610902","Neither"
"514","04013040541","Neither"
"515","04013816904","Neither"
"516","04013815601","Neither"
"517","04013814801","Neither"
"518","04013040534","Neither"
"519","04013040533","Neither"
"520","04013040535","Neither"
"521","04013816901","Neither"
"522","04013817101","Neither"
"523","04013615201","Neither"
"524","04013612301","Neither"
"525","04013817103","Neither"
"526","04013040537","Neither"
"527","04013040540","Neither"
"528","04013050620","Neither"
"529","04013050616","Neither"
"530","04013061056","Neither"
"531","04013050614","Neither"
"532","04013061060","Neither"
"533","04013061058","Neither"
"534","04013612402","Neither"
"535","04013610001","Neither"
"536","04013612401","Neither"
"537","04013112518","Neither"
"538","04013050613","Neither"
